Company ID,Company Name,Company Domain Name,Industry,Number of Employees,Annual Revenue,Phone Number,Website,Street Address,City,State/Region,Postal Code,Country,Create Date,Last Modified Date,Company Owner
COMP-5880f9ce-fd33-495e-850e-9df673591c52,Cruz Inc,flowers.net,Technology,9395,873607.15,831.605.2433x72946,https://flowers.net,669 Wagner Gateway,North Christineview,UT,75424,Comoros,2024-01-02,2024-01-09,dwight.schrute@example.com
COMP-ba8908c0-43dc-42a8-9c17-6618b986b37b,Davis-Chang,holmes-navarro.biz,Non-profit,4199,30024968.0,+1-781-948-6348x4026,https://holmes-navarro.biz,75221 Brown Land,Lake David,MN,16995,Haiti,2025-02-01,2025-03-08,michael.scott@example.com
COMP-6540fc96-fd57-4f46-be1f-60a90b2933ac,"Scott, Murray and Thomas",santiago-aguilar.com,Professional Services,3406,41636134.98,825.837.2432,https://santiago-aguilar.com,3251 Ball Overpass Suite 411,Port Ricky,CT,48594,Guinea-Bissau,2022-04-14,2023-03-24,pam.beesly@example.com
COMP-19100d36-7df9-4c25-a346-e7e2be84f789,Kelley-Johnson,martin.info,Healthcare,2665,35157294.43,+1-786-298-5227x7505,https://martin.info,0312 Miller Isle Apt. 570,New Aaron,MD,96579,United States Minor Outlying Islands,2024-03-15,2025-02-19,jim.halpert@example.com
COMP-31fa3068-b673-49e7-a8c0-244f82da6da5,Thompson Group,stokes.com,Retail,4039,43086763.57,886.402.9280,https://stokes.com,82652 Isaac Stream,Antonioberg,HI,69270,Palestinian Territory,2023-09-05,2023-11-15,angela.martin@example.com
COMP-f39ab657-6395-47cc-a612-348e389b13f7,"Fox, Ferrell and Diaz",smith.com,Other,9568,7303825.57,001-293-787-5966,https://smith.com,27280 Pamela Wells Apt. 512,New Connormouth,NJ,17518,Philippines,2023-08-07,2025-04-09,dwight.schrute@example.com
COMP-501b503a-bc60-4ec2-8f16-53dc47406b34,Shaw-Hill,daniels.info,Manufacturing,2870,27198798.03,594.347.0579,https://daniels.info,950 Conway Branch,Nguyenfurt,GA,87316,Jersey,2022-07-17,2024-11-12,michael.scott@example.com
COMP-fb3de6db-da2e-4d6f-b30b-7b50af47f613,Adams-Thomas,wright.com,Other,9517,20620393.6,001-256-580-6551,https://wright.com,69025 Michael Estates,Kristatown,RI,44856,Central African Republic,2024-02-13,2024-11-26,pam.beesly@example.com
COMP-099c1582-b4a5-41a9-b90a-3fc001622ab3,Walker-Nguyen,bradley-bowman.net,Other,7002,1888215.41,+1-817-680-3660x43342,https://bradley-bowman.net,2067 Stephanie Lodge Apt. 752,Joneschester,KS,81111,Trinidad and Tobago,2024-09-26,2024-09-28,jim.halpert@example.com
COMP-e7a37c54-cb58-4866-955d-ff3b09fe11d8,"Mason, Adams and Powell",hicks-lawrence.com,Other,9907,25168710.66,(501)255-0187,https://hicks-lawrence.com,657 Gibson Centers,Nathanielside,TN,10358,Central African Republic,2022-03-08,2024-01-03,angela.martin@example.com
COMP-c1ee21e4-4797-4f6c-b485-8b358fb6b683,Smith-Jones,jones.net,Professional Services,266,11808691.22,513-502-4717x07088,https://jones.net,83905 Stone Ways Suite 372,South Alex,LA,36318,Cook Islands,2023-07-09,2023-11-06,dwight.schrute@example.com
COMP-9a846988-e548-4f0d-b202-9a92567ced80,Scott-Morris,benson-johnson.org,Manufacturing,4287,9779917.82,600-521-3609x217,https://benson-johnson.org,3398 Kimberly Street,Paulfort,ND,93707,Trinidad and Tobago,2023-09-02,2024-09-09,michael.scott@example.com
COMP-43b82b3d-53a3-4f83-9ffd-59841c9b2950,"Scott, West and Bell",morton.com,Technology,6951,30287435.66,539-766-7496x469,https://morton.com,626 Howell Mission,Justinshire,MP,23735,Syrian Arab Republic,2024-07-21,2024-12-29,pam.beesly@example.com
COMP-0616a67f-7f78-4c80-94d0-2aed7da6d2cf,"Watkins, Lutz and Horn",cross.com,Education,3424,19928157.14,001-796-357-4089x1571,https://cross.com,98728 Charles Track,Wilsontown,FL,43907,Norway,2022-01-22,2022-05-06,jim.halpert@example.com
COMP-ee8aef7b-aa77-43f4-b088-e932e50a9110,"Cook, Molina and Gray",perry-pearson.com,Education,7406,26311735.34,+1-570-409-7350x28570,https://perry-pearson.com,43056 Steven Camp,Port Craigport,KS,59952,Central African Republic,2023-07-11,2023-09-02,angela.martin@example.com
COMP-8b68f3da-49e5-4769-bbe2-8d1cec7059c5,"Alvarez, Roberts and Brooks",smith.org,Healthcare,1926,46839773.76,321-291-3970x33348,https://smith.org,7341 Shannon Harbors Suite 636,Cunninghamland,NH,45296,Colombia,2022-07-23,2025-01-23,dwight.schrute@example.com
COMP-26584709-04d0-4c81-aa8c-96440016258a,"Ramirez, Greene and Owens",elliott-gray.com,Technology,9417,19269517.31,(981)493-0151x3251,https://elliott-gray.com,63546 Martin Gardens,Hawkinsborough,SD,61999,Suriname,2023-06-17,2024-09-29,michael.scott@example.com
COMP-480297fd-0336-4fff-9865-9da34003598e,Hall-Richmond,johnson.net,Education,422,1137464.26,857-360-6773x46255,https://johnson.net,2524 Wood Shoals Apt. 603,East Christopher,DC,49328,Cote d'Ivoire,2023-03-09,2024-11-09,pam.beesly@example.com
COMP-30ee2524-8c9a-40b6-a8f8-2d7d95549eab,"Wyatt, Weaver and Foster",rodgers.com,Education,2276,31196215.17,562-883-6009x74153,https://rodgers.com,05916 Matthew Forks,West Garybury,NJ,38987,Thailand,2023-04-24,2023-05-14,jim.halpert@example.com
COMP-1ceefcff-3048-4370-991b-c037112abc7b,Sanchez-Snyder,miranda-west.com,Other,6211,3877660.45,932-447-8176x50309,https://miranda-west.com,458 Allen Views Suite 019,North Mistyberg,PA,68508,Niue,2024-05-15,2024-07-25,angela.martin@example.com
COMP-5f0d055b-2d86-4bf1-9d34-0ed196ae5306,Howard and Sons,rodriguez.biz,Professional Services,2882,9782960.29,+1-614-441-5020x0241,https://rodriguez.biz,7691 Kathleen Brooks Apt. 079,North Anna,MT,55570,Cambodia,2024-03-18,2024-07-05,dwight.schrute@example.com
COMP-146d6b25-8f3b-4864-a612-4abb45001609,Boyer-Carr,carter.org,Education,6745,33679648.96,+1-377-898-7370x391,https://carter.org,7943 Jones Ville,Jeremystad,WV,22784,Korea,2024-07-06,2025-04-27,michael.scott@example.com
COMP-39b24185-c114-4be2-81a1-116386fb0b50,Mills Inc,perkins-davis.net,Healthcare,6194,12807574.26,692-844-7623x2366,https://perkins-davis.net,5159 Teresa Fort Suite 230,Martineztown,PR,08420,Solomon Islands,2024-09-13,2024-09-28,pam.beesly@example.com
